Thành phố,Quốc gia,Đánh giá chất lượng,Chỉ số không khí,Nồng độ bụi(pm10),Chỉ số Ozon,Chỉ số NO2,Chỉ số CO,Chỉ số SO2,Áp suất khí quyển,Độ ẩm,Ngày,Thời gian,Catching
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,20,12,24,0,3,0,996,84,2025-10-24,2025-10-24 09:34:50,2025-10-24 09:30:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,15,8,25,2,3,0,993,44,2025-10-25,2025-10-25 02:04:16,2025-10-25 02:00:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,15,8,25,2,3,0,993,44,2025-10-25,2025-10-25 02:04:16,2025-10-25 02:00:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,16,8,14,5,3,0,1013,86,2025-11-05,2025-11-05 07:02:01,2025-11-05 07:00:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,16,8,14,5,3,0,1013,86,2025-11-05,2025-11-05 07:02:01,2025-11-05 07:00:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,17,9,13,7,4,0,1013,86,2025-11-05,2025-11-05 08:05:55,2025-11-05 08:00:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,26,12,8,8,4,0,1009,80,2025-11-06,2025-11-06 02:21:44,2025-11-06 02:20:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,26,12,8,8,4,0,1009,80,2025-11-06,2025-11-06 02:21:44,2025-11-06 02:20:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,35,15,12,10,4,0,1007,77,2025-11-06,2025-11-06 14:12:50,2025-11-06 14:10:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,35,15,12,10,4,0,1007,77,2025-11-06,2025-11-06 14:12:50,2025-11-06 14:10:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,20,10,10,10,4,0,1010,97,2025-11-11,2025-11-11 09:27:59,2025-11-11 09:20:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,20,10,10,10,4,0,1010,97,2025-11-11,2025-11-11 09:28:02,2025-11-11 09:20:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,32,10,10,11,5,0,1010,96,2025-11-11,2025-11-11 10:17:09,2025-11-11 10:10:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,32,10,10,11,5,0,1010,96,2025-11-11,2025-11-11 10:20:19,2025-11-11 10:20:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,32,10,10,11,5,0,1010,96,2025-11-11,2025-11-11 10:31:04,2025-11-11 10:30:00
Amsterdam - Hà Lan,NL,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,45,15,15,5,3,0,1011,94,2025-11-11,2025-11-11 15:13:15,2025-11-11 15:10:00
Amsterdam - Hà Lan,NL,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,45,15,15,5,3,0,1011,94,2025-11-11,2025-11-11 15:13:15,2025-11-11 15:10:00
Amsterdam - Hà Lan,NL,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,45,15,15,5,3,0,1011,94,2025-11-11,2025-11-11 15:17:33,2025-11-11 15:10:00
Amsterdam - Hà Lan,NL,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,36,13,15,5,4,0,1011,93,2025-11-11,2025-11-11 16:00:07,2025-11-11 16:00:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,14,8,16,4,3,0,1007,90,2025-11-12,2025-11-12 07:54:19,2025-11-12 07:50:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,14,8,16,4,3,0,1007,90,2025-11-12,2025-11-12 07:54:19,2025-11-12 07:50:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,14,8,16,4,3,0,1007,90,2025-11-12,2025-11-12 08:15:33,2025-11-12 08:10:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,14,8,16,4,3,0,1007,90,2025-11-12,2025-11-12 08:20:08,2025-11-12 08:20:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,14,8,16,4,3,0,1007,90,2025-11-12,2025-11-12 08:23:14,2025-11-12 08:20:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,23,13,17,8,3,0,1006,80,2025-11-12,2025-11-12 14:16:51,2025-11-12 14:10:00
Amsterdam - Hà Lan,NL,Trung bình - nhóm nhạy cảm chú ý,23,13,17,8,3,0,1006,80,2025-11-12,2025-11-12 14:16:51,2025-11-12 14:10:00
Auckland,New Zealand,Trung bình - nhóm nhạy cảm chú ý,24,13,-1,6,-1,-1,1004,54,2025-11-13,2025-11-13 07:06:48,2025-11-13 07:00:00
Auckland,New Zealand,Trung bình - nhóm nhạy cảm chú ý,24,13,-1,6,-1,-1,1004,54,2025-11-13,2025-11-13 07:06:48,2025-11-13 07:00:00
Auckland,New Zealand,Trung bình - nhóm nhạy cảm chú ý,33,19,-1,4,-1,-1,1005,73,2025-11-13,2025-11-13 14:05:25,2025-11-13 14:00:00
Auckland,New Zealand,Trung bình - nhóm nhạy cảm chú ý,33,19,-1,4,-1,-1,1005,73,2025-11-13,2025-11-13 14:05:25,2025-11-13 14:00:00
Auckland,New Zealand,Trung bình - nhóm nhạy cảm chú ý,31,21,-1,6,-1,-1,1008,53,2025-11-14,2025-11-14 01:39:50,2025-11-14 01:30:00
Auckland,New Zealand,Trung bình - nhóm nhạy cảm chú ý,31,21,-1,6,-1,-1,1008,53,2025-11-14,2025-11-14 01:39:52,2025-11-14 01:30:00
Auckland,New Zealand,Trung bình - nhóm nhạy cảm chú ý,27,17,-1,4,-1,-1,1010,43,2025-11-14,2025-11-14 06:58:27,2025-11-14 06:50:00
Auckland,New Zealand,Trung bình - nhóm nhạy cảm chú ý,28,18,-1,8,-1,-1,1018,42,2025-11-15,2025-11-15 06:32:47,2025-11-15 06:30:00
Auckland,New Zealand,Trung bình - nhóm nhạy cảm chú ý,28,18,-1,8,-1,-1,1018,42,2025-11-15,2025-11-15 06:32:47,2025-11-15 06:30:00
Auckland,New Zealand,Trung bình - nhóm nhạy cảm chú ý,28,16,-1,3,-1,-1,1022,58,2025-11-15,2025-11-15 15:16:13,2025-11-15 15:10:00
Auckland,New Zealand,Trung bình - nhóm nhạy cảm chú ý,28,16,-1,3,-1,-1,1022,58,2025-11-15,2025-11-15 15:16:13,2025-11-15 15:10:00
Auckland - New Zealand,NZ,Trung bình - nhóm nhạy cảm chú ý,14,6,-1,1,-1,-1,1010,83,2025-10-23,2025-10-23 15:12:51,2025-10-23 15:10:00
Auckland - New Zealand,NZ,Trung bình - nhóm nhạy cảm chú ý,14,6,-1,1,-1,-1,1010,83,2025-10-23,2025-10-23 15:17:05,2025-10-23 15:10:00
Auckland - New Zealand,NZ,Trung bình - nhóm nhạy cảm chú ý,14,6,-1,1,-1,-1,1010,83,2025-10-23,2025-10-23 15:25:08,2025-10-23 15:20:00
Auckland - New Zealand,NZ,Trung bình - nhóm nhạy cảm chú ý,14,6,-1,1,-1,-1,1010,83,2025-10-23,2025-10-23 15:34:11,2025-10-23 15:30:00
Auckland - New Zealand,NZ,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,55,33,-1,4,-1,-1,1010,57,2025-10-24,2025-10-24 09:35:15,2025-10-24 09:30:00
Auckland - New Zealand,NZ,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,55,33,-1,4,-1,-1,1010,57,2025-10-24,2025-10-24 09:35:17,2025-10-24 09:30:00
Auckland - New Zealand,NZ,Trung bình - nhóm nhạy cảm chú ý,23,15,-1,11,-1,-1,1006,39,2025-10-25,2025-10-25 02:04:38,2025-10-25 02:00:00
Auckland - New Zealand,NZ,Trung bình - nhóm nhạy cảm chú ý,23,15,-1,11,-1,-1,1006,39,2025-10-25,2025-10-25 02:04:38,2025-10-25 02:00:00
Auckland - New Zealand,NZ,Trung bình - nhóm nhạy cảm chú ý,17,11,-1,10,-1,-1,1017,45,2025-11-05,2025-11-05 07:02:23,2025-11-05 07:00:00
Auckland - New Zealand,NZ,Trung bình - nhóm nhạy cảm chú ý,17,11,-1,10,-1,-1,1017,45,2025-11-05,2025-11-05 07:02:23,2025-11-05 07:00:00
Auckland - New Zealand,NZ,Trung bình - nhóm nhạy cảm chú ý,15,9,-1,10,-1,-1,1017,45,2025-11-05,2025-11-05 08:06:17,2025-11-05 08:00:00
Auckland - New Zealand,NZ,Trung bình - nhóm nhạy cảm chú ý,14,8,-1,4,-1,-1,1017,44,2025-11-06,2025-11-06 02:22:06,2025-11-06 02:20:00
Auckland - New Zealand,NZ,Trung bình - nhóm nhạy cảm chú ý,14,8,-1,4,-1,-1,1017,44,2025-11-06,2025-11-06 02:22:06,2025-11-06 02:20:00
Auckland - New Zealand,NZ,Trung bình - nhóm nhạy cảm chú ý,20,11,-1,4,-1,-1,1018,70,2025-11-06,2025-11-06 14:13:13,2025-11-06 14:10:00
Auckland - New Zealand,NZ,Trung bình - nhóm nhạy cảm chú ý,20,11,-1,4,-1,-1,1018,70,2025-11-06,2025-11-06 14:13:13,2025-11-06 14:10:00
Auckland - New Zealand,NZ,Trung bình - nhóm nhạy cảm chú ý,19,14,-1,5,-1,-1,1011,51,2025-11-11,2025-11-11 09:28:31,2025-11-11 09:20:00
Auckland - New Zealand,NZ,Trung bình - nhóm nhạy cảm chú ý,19,14,-1,5,-1,-1,1011,51,2025-11-11,2025-11-11 09:28:33,2025-11-11 09:20:00
Auckland - New Zealand,NZ,Trung bình - nhóm nhạy cảm chú ý,19,14,-1,5,-1,-1,1011,51,2025-11-11,2025-11-11 10:17:35,2025-11-11 10:10:00
Auckland - New Zealand,NZ,Trung bình - nhóm nhạy cảm chú ý,19,14,-1,5,-1,-1,1011,51,2025-11-11,2025-11-11 10:20:45,2025-11-11 10:20:00
Auckland - New Zealand,NZ,Trung bình - nhóm nhạy cảm chú ý,19,14,-1,5,-1,-1,1011,51,2025-11-11,2025-11-11 10:31:32,2025-11-11 10:30:00
Auckland - New Zealand,NZ,Không có dữ liệu!,-1,8,-1,-1,-1,-1,1010,95,2025-11-11,2025-11-11 15:13:37,2025-11-11 15:10:00
Auckland - New Zealand,NZ,Không có dữ liệu!,-1,8,-1,-1,-1,-1,1010,95,2025-11-11,2025-11-11 15:13:37,2025-11-11 15:10:00
Auckland - New Zealand,NZ,Không có dữ liệu!,-1,8,-1,-1,-1,-1,1010,95,2025-11-11,2025-11-11 15:17:55,2025-11-11 15:10:00
Auckland - New Zealand,NZ,Không có dữ liệu!,-1,8,-1,-1,-1,-1,1010,95,2025-11-11,2025-11-11 16:00:30,2025-11-11 16:00:00
Auckland - New Zealand,NZ,Không có dữ liệu!,-1,4,-1,-1,-1,-1,1002,93,2025-11-12,2025-11-12 07:54:41,2025-11-12 07:50:00
Auckland - New Zealand,NZ,Không có dữ liệu!,-1,4,-1,-1,-1,-1,1002,93,2025-11-12,2025-11-12 07:54:41,2025-11-12 07:50:00
Auckland - New Zealand,NZ,Không có dữ liệu!,-1,7,-1,-1,-1,-1,1001,93,2025-11-12,2025-11-12 08:15:55,2025-11-12 08:10:00
Auckland - New Zealand,NZ,Không có dữ liệu!,-1,7,-1,-1,-1,-1,1001,93,2025-11-12,2025-11-12 08:20:30,2025-11-12 08:20:00
Auckland - New Zealand,NZ,Không có dữ liệu!,-1,7,-1,-1,-1,-1,1001,93,2025-11-12,2025-11-12 08:23:36,2025-11-12 08:20:00
Auckland - New Zealand,NZ,Không có dữ liệu!,-1,4,-1,-1,-1,-1,997,88,2025-11-12,2025-11-12 14:17:13,2025-11-12 14:10:00
Auckland - New Zealand,NZ,Không có dữ liệu!,-1,4,-1,-1,-1,-1,997,88,2025-11-12,2025-11-12 14:17:13,2025-11-12 14:10:00
Barcelona,Tây Ban Nha,Không lành mạnh - mọi người có thể bị ảnh hưởng,57,29,15,12,0,1,1020,89,2025-11-13,2025-11-13 07:06:20,2025-11-13 07:00:00
Barcelona,Tây Ban Nha,Không lành mạnh - mọi người có thể bị ảnh hưởng,57,29,15,12,0,1,1020,89,2025-11-13,2025-11-13 07:06:20,2025-11-13 07:00:00
Barcelona,Tây Ban Nha,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,38,17,24,5,0,1,1018,88,2025-11-13,2025-11-13 14:04:58,2025-11-13 14:00:00
Barcelona,Tây Ban Nha,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,38,17,24,5,0,1,1018,88,2025-11-13,2025-11-13 14:04:58,2025-11-13 14:00:00
Barcelona,Tây Ban Nha,Không lành mạnh - mọi người có thể bị ảnh hưởng,57,29,22,10,0,1,1015,91,2025-11-14,2025-11-14 01:39:16,2025-11-14 01:30:00
Barcelona,Tây Ban Nha,Không lành mạnh - mọi người có thể bị ảnh hưởng,57,29,22,10,0,1,1015,91,2025-11-14,2025-11-14 01:39:18,2025-11-14 01:30:00
Barcelona,Tây Ban Nha,Không lành mạnh - mọi người có thể bị ảnh hưởng,61,32,20,9,0,1,1013,90,2025-11-14,2025-11-14 06:58:00,2025-11-14 06:50:00
Barcelona,Tây Ban Nha,Không lành mạnh - mọi người có thể bị ảnh hưởng,65,39,20,7,0,1,1013,79,2025-11-15,2025-11-15 06:32:21,2025-11-15 06:30:00
Barcelona,Tây Ban Nha,Không lành mạnh - mọi người có thể bị ảnh hưởng,65,39,20,7,0,1,1013,79,2025-11-15,2025-11-15 06:32:21,2025-11-15 06:30:00
Barcelona,Tây Ban Nha,Không lành mạnh - mọi người có thể bị ảnh hưởng,65,39,21,9,0,1,1013,51,2025-11-15,2025-11-15 15:15:47,2025-11-15 15:10:00
Barcelona,Tây Ban Nha,Không lành mạnh - mọi người có thể bị ảnh hưởng,65,39,21,9,0,1,1013,51,2025-11-15,2025-11-15 15:15:47,2025-11-15 15:10:00
Barcelona - Tây Ban Nha,ES,Trung bình - nhóm nhạy cảm chú ý,25,23,20,6,0,0,1010,30,2025-10-23,2025-10-23 15:12:24,2025-10-23 15:10:00
Barcelona - Tây Ban Nha,ES,Trung bình - nhóm nhạy cảm chú ý,25,23,20,6,0,0,1010,30,2025-10-23,2025-10-23 15:16:38,2025-10-23 15:10:00
Barcelona - Tây Ban Nha,ES,Trung bình - nhóm nhạy cảm chú ý,25,23,24,9,0,0,1010,29,2025-10-23,2025-10-23 15:24:41,2025-10-23 15:20:00
Barcelona - Tây Ban Nha,ES,Trung bình - nhóm nhạy cảm chú ý,25,23,24,9,0,0,1010,29,2025-10-23,2025-10-23 15:33:41,2025-10-23 15:30:00
Barcelona - Tây Ban Nha,ES,Trung bình - nhóm nhạy cảm chú ý,25,24,20,18,0,1,1019,55,2025-10-24,2025-10-24 09:34:45,2025-10-24 09:30:00
Barcelona - Tây Ban Nha,ES,Trung bình - nhóm nhạy cảm chú ý,25,24,20,18,0,1,1019,55,2025-10-24,2025-10-24 09:34:45,2025-10-24 09:30:00
Barcelona - Tây Ban Nha,ES,Trung bình - nhóm nhạy cảm chú ý,30,19,21,5,0,0,1015,82,2025-10-25,2025-10-25 02:04:11,2025-10-25 02:00:00
Barcelona - Tây Ban Nha,ES,Trung bình - nhóm nhạy cảm chú ý,30,19,21,5,0,0,1015,82,2025-10-25,2025-10-25 02:04:11,2025-10-25 02:00:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,42,20,7,23,0,1,1023,86,2025-11-05,2025-11-05 07:01:55,2025-11-05 07:00:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,42,20,7,23,0,1,1023,86,2025-11-05,2025-11-05 07:01:56,2025-11-05 07:00:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,38,20,5,28,0,1,1023,86,2025-11-05,2025-11-05 08:05:49,2025-11-05 08:00:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,46,20,2,27,0,1,1014,90,2025-11-06,2025-11-06 02:21:39,2025-11-06 02:20:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,46,20,2,27,0,1,1014,90,2025-11-06,2025-11-06 02:21:39,2025-11-06 02:20:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,38,17,20,6,0,1,1008,74,2025-11-06,2025-11-06 14:12:45,2025-11-06 14:10:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,38,17,20,6,0,1,1008,74,2025-11-06,2025-11-06 14:12:45,2025-11-06 14:10:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,46,22,0,26,0,1,1020,60,2025-11-11,2025-11-11 09:27:52,2025-11-11 09:20:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,46,22,0,26,0,1,1020,60,2025-11-11,2025-11-11 09:27:53,2025-11-11 09:20:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,46,22,0,26,0,1,1020,60,2025-11-11,2025-11-11 10:17:03,2025-11-11 10:10:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,46,22,0,26,0,1,1020,60,2025-11-11,2025-11-11 10:20:13,2025-11-11 10:20:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,46,22,1,20,0,1,1020,60,2025-11-11,2025-11-11 10:30:57,2025-11-11 10:30:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,50,24,7,13,0,1,1018,68,2025-11-11,2025-11-11 15:13:09,2025-11-11 15:10:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,50,24,7,13,0,1,1018,68,2025-11-11,2025-11-11 15:13:09,2025-11-11 15:10:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,50,24,7,13,0,1,1018,69,2025-11-11,2025-11-11 15:17:28,2025-11-11 15:10:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,50,24,10,15,0,1,1018,69,2025-11-11,2025-11-11 16:00:02,2025-11-11 16:00:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,55,27,0,28,0,2,1020,87,2025-11-12,2025-11-12 07:54:13,2025-11-12 07:50:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,55,27,0,28,0,2,1020,87,2025-11-12,2025-11-12 07:54:13,2025-11-12 07:50:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,55,27,0,28,0,2,1020,87,2025-11-12,2025-11-12 08:15:28,2025-11-12 08:10:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,55,27,0,28,0,2,1020,87,2025-11-12,2025-11-12 08:20:02,2025-11-12 08:20:00
Barcelona - Tây Ban Nha,ES,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,55,27,0,28,0,2,1020,87,2025-11-12,2025-11-12 08:23:08,2025-11-12 08:20:00
Barcelona - Tây Ban Nha,ES,Không lành mạnh - mọi người có thể bị ảnh hưởng,57,29,6,28,0,1,1020,74,2025-11-12,2025-11-12 14:16:45,2025-11-12 14:10:00
Barcelona - Tây Ban Nha,ES,Không lành mạnh - mọi người có thể bị ảnh hưởng,57,29,6,28,0,1,1020,74,2025-11-12,2025-11-12 14:16:45,2025-11-12 14:10:00
Berlin,Đức,Trung bình - nhóm nhạy cảm chú ý,30,10,6,11,0,-1,1010,85,2025-11-13,2025-11-13 07:06:10,2025-11-13 07:00:00
Berlin,Đức,Trung bình - nhóm nhạy cảm chú ý,30,10,6,11,0,-1,1010,85,2025-11-13,2025-11-13 07:06:10,2025-11-13 07:00:00
Berlin,Đức,Trung bình - nhóm nhạy cảm chú ý,30,14,16,6,0,-1,1010,69,2025-11-13,2025-11-13 14:04:48,2025-11-13 14:00:00
Berlin,Đức,Trung bình - nhóm nhạy cảm chú ý,30,14,16,6,0,-1,1010,69,2025-11-13,2025-11-13 14:04:48,2025-11-13 14:00:00
Berlin,Đức,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,42,14,11,7,0,-1,1012,80,2025-11-14,2025-11-14 01:39:01,2025-11-14 01:30:00
Berlin,Đức,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,42,14,11,7,0,-1,1012,80,2025-11-14,2025-11-14 01:39:05,2025-11-14 01:30:00
Berlin,Đức,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,38,13,1,15,0,-1,1010,87,2025-11-14,2025-11-14 06:57:50,2025-11-14 06:50:00
Berlin,Đức,Trung bình - nhóm nhạy cảm chú ý,13,5,23,1,0,-1,1016,93,2025-11-15,2025-11-15 06:32:12,2025-11-15 06:30:00
Berlin,Đức,Trung bình - nhóm nhạy cảm chú ý,13,5,23,1,0,-1,1016,93,2025-11-15,2025-11-15 06:32:12,2025-11-15 06:30:00
Berlin,Đức,Trung bình - nhóm nhạy cảm chú ý,21,6,22,2,0,-1,1015,93,2025-11-15,2025-11-15 15:15:37,2025-11-15 15:10:00
Berlin,Đức,Trung bình - nhóm nhạy cảm chú ý,21,6,22,2,0,-1,1015,93,2025-11-15,2025-11-15 15:15:37,2025-11-15 15:10:00
Berlin - Đức,DE,Không lành mạnh - mọi người có thể bị ảnh hưởng,117,42,12,6,0,-1,988,94,2025-10-23,2025-10-23 15:12:13,2025-10-23 15:10:00
Berlin - Đức,DE,Không lành mạnh - mọi người có thể bị ảnh hưởng,117,42,12,6,0,-1,988,94,2025-10-23,2025-10-23 15:16:27,2025-10-23 15:10:00
Berlin - Đức,DE,Không lành mạnh - mọi người có thể bị ảnh hưởng,117,42,12,6,0,-1,988,94,2025-10-23,2025-10-23 15:24:31,2025-10-23 15:20:00
Berlin - Đức,DE,Không lành mạnh - mọi người có thể bị ảnh hưởng,117,42,12,12,0,-1,987,94,2025-10-23,2025-10-23 15:33:31,2025-10-23 15:30:00
Berlin - Đức,DE,Trung bình - nhóm nhạy cảm chú ý,21,11,22,13,0,-1,995,74,2025-10-24,2025-10-24 09:34:34,2025-10-24 09:30:00
Berlin - Đức,DE,Trung bình - nhóm nhạy cảm chú ý,21,11,22,13,0,-1,995,74,2025-10-24,2025-10-24 09:34:34,2025-10-24 09:30:00
Berlin - Đức,DE,Trung bình - nhóm nhạy cảm chú ý,17,7,17,3,0,-1,1001,79,2025-10-25,2025-10-25 02:04:00,2025-10-25 02:00:00
Berlin - Đức,DE,Trung bình - nhóm nhạy cảm chú ý,17,7,17,3,0,-1,1001,79,2025-10-25,2025-10-25 02:04:00,2025-10-25 02:00:00
Berlin - Đức,DE,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,50,16,1,12,0,-1,1020,90,2025-11-05,2025-11-05 07:01:45,2025-11-05 07:00:00
Berlin - Đức,DE,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,50,16,1,12,0,-1,1020,90,2025-11-05,2025-11-05 07:01:46,2025-11-05 07:00:00
Berlin - Đức,DE,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,53,17,1,15,0,-1,1020,89,2025-11-05,2025-11-05 08:05:39,2025-11-05 08:00:00
Berlin - Đức,DE,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,50,15,6,13,0,-1,1018,85,2025-11-06,2025-11-06 02:21:28,2025-11-06 02:20:00
Berlin - Đức,DE,Kém - nhóm nhạy cảm có thể bị ảnh hưởng,50,15,6,13,0,-1,1018,85,2025-11-06,2025-11-06 02:21:28,2025-11-06 02:20:00
Berlin - Đức,DE,Trung bình - nhóm nhạy cảm chú ý,30,15,24,5,0,-1,1014,61,2025-11-06,2025-11-06 14:12:35,2025-11-06 14:10:00
